Host clust2
From 2020-03-24T00:00:00.000000000 to 2020-07-21T00:00:00.000000000
Iteration 0: Epsilon = inf, ESS = 1000 Acc. rate = 100% Numb. unique particles = 1000
Iteration 58: Espilon = 4791.3408, ESS = 902 Acc. rate = 37.58% Uniqueness rate particules = 93.6% Uniqueness rate components = 93.6% Global parameters uniqueness rate = 93.6%

Iteration 59: Espilon = 4788.6374, ESS = 856 Acc. rate = 35.75% Uniqueness rate particules = 95.2% Uniqueness rate components = 95.2% Global parameters uniqueness rate = 95.2%

Iteration 60: Espilon = 4784.8896, ESS = 813 Acc. rate = 31.12% Uniqueness rate particules = 96.1% Uniqueness rate components = 96.1% Global parameters uniqueness rate = 96.1%

Iteration 61: Espilon = 4780.9482, ESS = 772 Acc. rate = 26.94% Uniqueness rate particules = 96.6% Uniqueness rate components = 96.6% Global parameters uniqueness rate = 96.6%

Iteration 62: Espilon = 4773.0609, ESS = 733 Acc. rate = 26.47% Uniqueness rate particules = 96.8% Uniqueness rate components = 96.8% Global parameters uniqueness rate = 96.8%

Iteration 63: Espilon = 4763.3621, ESS = 696 Acc. rate = 22.27% Uniqueness rate particules = 97.2% Uniqueness rate components = 97.2% Global parameters uniqueness rate = 97.2%

Iteration 64: Espilon = 4754.6026, ESS = 661 Acc. rate = 25.72% Uniqueness rate particules = 97.3% Uniqueness rate components = 97.3% Global parameters uniqueness rate = 97.3%

Iteration 65: Espilon = 4739.0478, ESS = 628 Acc. rate = 21.50% Uniqueness rate particules = 97.4% Uniqueness rate components = 97.4% Global parameters uniqueness rate = 97.4%

Iteration 66: Espilon = 4723.6476, ESS = 596 Acc. rate = 19.30% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 67: Espilon = 4697.7968, ESS = 566 Acc. rate = 18.37% Uniqueness rate particules = 97.5% Uniqueness rate components = 97.5% Global parameters uniqueness rate = 97.5%

Iteration 68: Espilon = 4665.4713, ESS = 537 Acc. rate = 15.64% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Iteration 69: Espilon = 4628.8835, ESS = 510 Acc. rate = 15.29% Uniqueness rate particules = 97.6% Uniqueness rate components = 97.6% Global parameters uniqueness rate = 97.6%

Resampling... 475 unique particles left
Iteration 70: Espilon = 4600.9998, ESS = 1000 Acc. rate = 14.80% Uniqueness rate particules = 61.5% Uniqueness rate components = 61.5% Global parameters uniqueness rate = 61.5%

Iteration 71: Espilon = 4562.4623, ESS = 950 Acc. rate = 13.26% Uniqueness rate particules = 69.7% Uniqueness rate components = 69.7% Global parameters uniqueness rate = 69.7%

Iteration 72: Espilon = 4534.1750, ESS = 903 Acc. rate = 13.62% Uniqueness rate particules = 75.7% Uniqueness rate components = 75.7% Global parameters uniqueness rate = 75.7%

Iteration 73: Espilon = 4491.9714, ESS = 857 Acc. rate = 12.37% Uniqueness rate particules = 79.9% Uniqueness rate components = 79.9% Global parameters uniqueness rate = 79.9%

Iteration 74: Espilon = 4448.8502, ESS = 814 Acc. rate = 13.39% Uniqueness rate particules = 83.0% Uniqueness rate components = 83.0% Global parameters uniqueness rate = 83.0%

Iteration 75: Espilon = 4400.1847, ESS = 773 Acc. rate = 9.70% Uniqueness rate particules = 84.4% Uniqueness rate components = 84.4% Global parameters uniqueness rate = 84.4%

Iteration 76: Espilon = 4333.4691, ESS = 734 Acc. rate = 10.76% Uniqueness rate particules = 85.8% Uniqueness rate components = 85.8% Global parameters uniqueness rate = 85.8%

Iteration 77: Espilon = 4269.7138, ESS = 697 Acc. rate = 10.19% Uniqueness rate particules = 87.2% Uniqueness rate components = 87.2% Global parameters uniqueness rate = 87.2%

Iteration 78: Espilon = 4215.7341, ESS = 662 Acc. rate = 8.46% Uniqueness rate particules = 87.8% Uniqueness rate components = 87.8% Global parameters uniqueness rate = 87.8%

Iteration 79: Espilon = 4166.6965, ESS = 628 Acc. rate = 9.71% Uniqueness rate particules = 88.9% Uniqueness rate components = 88.9% Global parameters uniqueness rate = 88.9%

Iteration 80: Espilon = 4118.6445, ESS = 596 Acc. rate = 8.05% Uniqueness rate particules = 89.2% Uniqueness rate components = 89.2% Global parameters uniqueness rate = 89.2%

Iteration 81: Espilon = 4043.8138, ESS = 566 Acc. rate = 9.19% Uniqueness rate particules = 90.0% Uniqueness rate components = 90.0% Global parameters uniqueness rate = 90.0%

Iteration 82: Espilon = 3992.8862, ESS = 537 Acc. rate = 6.33% Uniqueness rate particules = 90.4% Uniqueness rate components = 90.4% Global parameters uniqueness rate = 90.4%

Iteration 83: Espilon = 3929.6040, ESS = 510 Acc. rate = 6.86% Uniqueness rate particules = 90.7% Uniqueness rate components = 90.7% Global parameters uniqueness rate = 90.7%

Resampling... 464 unique particles left
Iteration 84: Espilon = 3881.5611, ESS = 1000 Acc. rate = 7.00% Uniqueness rate particules = 52.9% Uniqueness rate components = 52.9% Global parameters uniqueness rate = 52.9%

Iteration 85: Espilon = 3800.9600, ESS = 952 Acc. rate = 8.40% Uniqueness rate particules = 59.4% Uniqueness rate components = 59.4% Global parameters uniqueness rate = 59.4%

Iteration 86: Espilon = 3754.5929, ESS = 904 Acc. rate = 6.31% Uniqueness rate particules = 62.3% Uniqueness rate components = 62.3% Global parameters uniqueness rate = 62.3%

Iteration 87: Espilon = 3698.9465, ESS = 858 Acc. rate = 5.13% Uniqueness rate particules = 65.1% Uniqueness rate components = 65.1% Global parameters uniqueness rate = 65.1%

Iteration 88: Espilon = 3615.9719, ESS = 816 Acc. rate = 5.76% Uniqueness rate particules = 67.8% Uniqueness rate components = 67.8% Global parameters uniqueness rate = 67.8%

Iteration 89: Espilon = 3585.7781, ESS = 776 Acc. rate = 4.77% Uniqueness rate particules = 69.3% Uniqueness rate components = 69.3% Global parameters uniqueness rate = 69.3%

Iteration 90: Espilon = 3518.0725, ESS = 737 Acc. rate = 6.11% Uniqueness rate particules = 71.2% Uniqueness rate components = 71.2% Global parameters uniqueness rate = 71.2%

Iteration 91: Espilon = 3460.5524, ESS = 700 Acc. rate = 5.29% Uniqueness rate particules = 72.3% Uniqueness rate components = 72.3% Global parameters uniqueness rate = 72.3%

Iteration 92: Espilon = 3415.2127, ESS = 666 Acc. rate = 5.41% Uniqueness rate particules = 73.6% Uniqueness rate components = 73.6% Global parameters uniqueness rate = 73.6%

Iteration 93: Espilon = 3365.7772, ESS = 632 Acc. rate = 3.32% Uniqueness rate particules = 74.7% Uniqueness rate components = 74.7% Global parameters uniqueness rate = 74.7%

Iteration 94: Espilon = 3307.6531, ESS = 600 Acc. rate = 4.33% Uniqueness rate particules = 75.2% Uniqueness rate components = 75.2% Global parameters uniqueness rate = 75.2%

Iteration 95: Espilon = 3268.9582, ESS = 571 Acc. rate = 3.85% Uniqueness rate particules = 76.3% Uniqueness rate components = 76.3% Global parameters uniqueness rate = 76.3%

Iteration 96: Espilon = 3206.5923, ESS = 542 Acc. rate = 4.80% Uniqueness rate particules = 77.0% Uniqueness rate components = 77.0% Global parameters uniqueness rate = 77.0%

Iteration 97: Espilon = 3153.1794, ESS = 514 Acc. rate = 2.92% Uniqueness rate particules = 77.3% Uniqueness rate components = 77.3% Global parameters uniqueness rate = 77.3%

Resampling... 413 unique particles left
Iteration 98: Espilon = 3086.0764, ESS = 1000 Acc. rate = 2.60% Uniqueness rate particules = 43.8% Uniqueness rate components = 43.8% Global parameters uniqueness rate = 43.8%

Iteration 99: Espilon = 3035.6085, ESS = 950 Acc. rate = 4.21% Uniqueness rate particules = 47.5% Uniqueness rate components = 47.5% Global parameters uniqueness rate = 47.5%

Iteration 100: Espilon = 2994.9994, ESS = 902 Acc. rate = 3.10% Uniqueness rate particules = 49.8% Uniqueness rate components = 49.8% Global parameters uniqueness rate = 49.8%

Iteration 101: Espilon = 2951.5844, ESS = 856 Acc. rate = 3.39% Uniqueness rate particules = 52.2% Uniqueness rate components = 52.2% Global parameters uniqueness rate = 52.2%

Iteration 102: Espilon = 2905.7243, ESS = 813 Acc. rate = 3.94% Uniqueness rate particules = 55.0% Uniqueness rate components = 55.0% Global parameters uniqueness rate = 55.0%

Iteration 103: Espilon = 2861.9276, ESS = 773 Acc. rate = 3.62% Uniqueness rate particules = 56.6% Uniqueness rate components = 56.6% Global parameters uniqueness rate = 56.6%

Iteration 104: Espilon = 2823.8864, ESS = 734 Acc. rate = 3.27% Uniqueness rate particules = 58.5% Uniqueness rate components = 58.5% Global parameters uniqueness rate = 58.5%

Iteration 105: Espilon = 2776.2482, ESS = 698 Acc. rate = 3.30% Uniqueness rate particules = 59.5% Uniqueness rate components = 59.5% Global parameters uniqueness rate = 59.5%

Iteration 106: Espilon = 2744.2127, ESS = 673 Acc. rate = 3.42% Uniqueness rate particules = 60.3% Uniqueness rate components = 60.3% Global parameters uniqueness rate = 60.3%

Iteration 107: Espilon = 2727.3284, ESS = 640 Acc. rate = 2.50% Uniqueness rate particules = 61.2% Uniqueness rate components = 61.2% Global parameters uniqueness rate = 61.2%

Iteration 108: Espilon = 2687.1213, ESS = 608 Acc. rate = 4.28% Uniqueness rate particules = 62.4% Uniqueness rate components = 62.4% Global parameters uniqueness rate = 62.4%

Iteration 109: Espilon = 2657.8479, ESS = 577 Acc. rate = 2.25% Uniqueness rate particules = 63.3% Uniqueness rate components = 63.3% Global parameters uniqueness rate = 63.3%

Iteration 110: Espilon = 2617.8640, ESS = 548 Acc. rate = 3.47% Uniqueness rate particules = 64.0% Uniqueness rate components = 64.0% Global parameters uniqueness rate = 64.0%

Iteration 111: Espilon = 2589.8241, ESS = 521 Acc. rate = 3.26% Uniqueness rate particules = 64.6% Uniqueness rate components = 64.6% Global parameters uniqueness rate = 64.6%

Resampling... 362 unique particles left
Iteration 112: Espilon = 2538.5993, ESS = 1000 Acc. rate = 2.80% Uniqueness rate particules = 38.8% Uniqueness rate components = 38.8% Global parameters uniqueness rate = 38.8%

Iteration 113: Espilon = 2505.1275, ESS = 953 Acc. rate = 2.94% Uniqueness rate particules = 41.5% Uniqueness rate components = 41.5% Global parameters uniqueness rate = 41.5%

Iteration 114: Espilon = 2477.9095, ESS = 905 Acc. rate = 2.43% Uniqueness rate particules = 43.6% Uniqueness rate components = 43.6% Global parameters uniqueness rate = 43.6%

Iteration 115: Espilon = 2455.1293, ESS = 867 Acc. rate = 2.31% Uniqueness rate particules = 45.3% Uniqueness rate components = 45.3% Global parameters uniqueness rate = 45.3%

Iteration 116: Espilon = 2441.7317, ESS = 826 Acc. rate = 4.48% Uniqueness rate particules = 48.2% Uniqueness rate components = 48.2% Global parameters uniqueness rate = 48.2%

Iteration 117: Espilon = 2406.0814, ESS = 787 Acc. rate = 3.68% Uniqueness rate particules = 49.8% Uniqueness rate components = 49.8% Global parameters uniqueness rate = 49.8%

Iteration 118: Espilon = 2380.6248, ESS = 747 Acc. rate = 4.42% Uniqueness rate particules = 52.0% Uniqueness rate components = 52.0% Global parameters uniqueness rate = 52.0%

Iteration 119: Espilon = 2348.7655, ESS = 710 Acc. rate = 3.10% Uniqueness rate particules = 53.4% Uniqueness rate components = 53.4% Global parameters uniqueness rate = 53.4%

Iteration 120: Espilon = 2307.2893, ESS = 675 Acc. rate = 4.30% Uniqueness rate particules = 55.4% Uniqueness rate components = 55.4% Global parameters uniqueness rate = 55.4%

Iteration 121: Espilon = 2292.5161, ESS = 642 Acc. rate = 5.76% Uniqueness rate particules = 57.4% Uniqueness rate components = 57.4% Global parameters uniqueness rate = 57.4%

Iteration 122: Espilon = 2271.4765, ESS = 609 Acc. rate = 4.11% Uniqueness rate particules = 58.9% Uniqueness rate components = 58.9% Global parameters uniqueness rate = 58.9%

Iteration 123: Espilon = 2237.3484, ESS = 578 Acc. rate = 7.27% Uniqueness rate particules = 61.1% Uniqueness rate components = 61.1% Global parameters uniqueness rate = 61.1%

Iteration 124: Espilon = 2211.6193, ESS = 550 Acc. rate = 6.55% Uniqueness rate particules = 62.7% Uniqueness rate components = 62.7% Global parameters uniqueness rate = 62.7%

Iteration 125: Espilon = 2183.2348, ESS = 523 Acc. rate = 7.46% Uniqueness rate particules = 63.7% Uniqueness rate components = 63.7% Global parameters uniqueness rate = 63.7%

Resampling... 398 unique particles left
Iteration 126: Espilon = 2160.7335, ESS = 1000 Acc. rate = 6.00% Uniqueness rate particules = 45.8% Uniqueness rate components = 45.8% Global parameters uniqueness rate = 45.8%

Iteration 127: Espilon = 2126.7187, ESS = 951 Acc. rate = 6.31% Uniqueness rate particules = 50.9% Uniqueness rate components = 50.9% Global parameters uniqueness rate = 50.9%

Iteration 128: Espilon = 2089.1171, ESS = 905 Acc. rate = 5.08% Uniqueness rate particules = 54.8% Uniqueness rate components = 54.8% Global parameters uniqueness rate = 54.8%

Iteration 129: Espilon = 2070.4859, ESS = 860 Acc. rate = 6.05% Uniqueness rate particules = 58.4% Uniqueness rate components = 58.4% Global parameters uniqueness rate = 58.4%

Iteration 130: Espilon = 2036.8939, ESS = 817 Acc. rate = 6.36% Uniqueness rate particules = 61.5% Uniqueness rate components = 61.5% Global parameters uniqueness rate = 61.5%

Iteration 131: Espilon = 2009.9579, ESS = 776 Acc. rate = 5.03% Uniqueness rate particules = 63.8% Uniqueness rate components = 63.8% Global parameters uniqueness rate = 63.8%

Iteration 132: Espilon = 1983.2064, ESS = 737 Acc. rate = 5.02% Uniqueness rate particules = 65.7% Uniqueness rate components = 65.7% Global parameters uniqueness rate = 65.7%

Iteration 133: Espilon = 1966.6622, ESS = 700 Acc. rate = 4.00% Uniqueness rate particules = 67.0% Uniqueness rate components = 67.0% Global parameters uniqueness rate = 67.0%

Iteration 134: Espilon = 1938.4633, ESS = 665 Acc. rate = 5.26% Uniqueness rate particules = 68.6% Uniqueness rate components = 68.6% Global parameters uniqueness rate = 68.6%

Iteration 135: Espilon = 1911.5814, ESS = 631 Acc. rate = 4.91% Uniqueness rate particules = 69.2% Uniqueness rate components = 69.2% Global parameters uniqueness rate = 69.2%

Iteration 136: Espilon = 1892.4326, ESS = 599 Acc. rate = 5.18% Uniqueness rate particules = 70.3% Uniqueness rate components = 70.3% Global parameters uniqueness rate = 70.3%

Iteration 137: Espilon = 1868.2529, ESS = 570 Acc. rate = 5.26% Uniqueness rate particules = 71.1% Uniqueness rate components = 71.1% Global parameters uniqueness rate = 71.1%

Iteration 138: Espilon = 1842.9275, ESS = 541 Acc. rate = 4.99% Uniqueness rate particules = 72.0% Uniqueness rate components = 72.0% Global parameters uniqueness rate = 72.0%

Iteration 139: Espilon = 1820.3478, ESS = 518 Acc. rate = 2.32% Uniqueness rate particules = 72.4% Uniqueness rate components = 72.4% Global parameters uniqueness rate = 72.4%

Resampling... 411 unique particles left
Iteration 140: Espilon = 1795.2536, ESS = 1000 Acc. rate = 4.60% Uniqueness rate particules = 45.7% Uniqueness rate components = 45.7% Global parameters uniqueness rate = 45.7%

Iteration 141: Espilon = 1772.2589, ESS = 950 Acc. rate = 5.05% Uniqueness rate particules = 49.6% Uniqueness rate components = 49.6% Global parameters uniqueness rate = 49.6%

Iteration 142: Espilon = 1755.5885, ESS = 905 Acc. rate = 4.64% Uniqueness rate particules = 53.2% Uniqueness rate components = 53.2% Global parameters uniqueness rate = 53.2%

Iteration 143: Espilon = 1726.9632, ESS = 859 Acc. rate = 3.14% Uniqueness rate particules = 55.5% Uniqueness rate components = 55.5% Global parameters uniqueness rate = 55.5%

Iteration 144: Espilon = 1709.0742, ESS = 816 Acc. rate = 5.15% Uniqueness rate particules = 58.5% Uniqueness rate components = 58.5% Global parameters uniqueness rate = 58.5%

Iteration 145: Espilon = 1696.5313, ESS = 778 Acc. rate = 4.11% Uniqueness rate particules = 60.3% Uniqueness rate components = 60.3% Global parameters uniqueness rate = 60.3%

Iteration 146: Espilon = 1678.0374, ESS = 739 Acc. rate = 4.74% Uniqueness rate particules = 62.4% Uniqueness rate components = 62.4% Global parameters uniqueness rate = 62.4%

Iteration 147: Espilon = 1657.5502, ESS = 703 Acc. rate = 2.84% Uniqueness rate particules = 63.8% Uniqueness rate components = 63.8% Global parameters uniqueness rate = 63.8%

Iteration 148: Espilon = 1644.4120, ESS = 667 Acc. rate = 5.10% Uniqueness rate particules = 65.2% Uniqueness rate components = 65.2% Global parameters uniqueness rate = 65.2%

Iteration 149: Espilon = 1626.1612, ESS = 635 Acc. rate = 4.09% Uniqueness rate particules = 66.4% Uniqueness rate components = 66.4% Global parameters uniqueness rate = 66.4%

Iteration 150: Espilon = 1610.9508, ESS = 603 Acc. rate = 4.48% Uniqueness rate particules = 67.5% Uniqueness rate components = 67.5% Global parameters uniqueness rate = 67.5%

Iteration 151: Espilon = 1599.7623, ESS = 573 Acc. rate = 4.89% Uniqueness rate particules = 68.4% Uniqueness rate components = 68.4% Global parameters uniqueness rate = 68.4%

Iteration 152: Espilon = 1584.9078, ESS = 547 Acc. rate = 4.02% Uniqueness rate particules = 69.6% Uniqueness rate components = 69.6% Global parameters uniqueness rate = 69.6%

Iteration 153: Espilon = 1575.8874, ESS = 519 Acc. rate = 3.08% Uniqueness rate particules = 70.1% Uniqueness rate components = 70.1% Global parameters uniqueness rate = 70.1%

Resampling... 390 unique particles left
